Committee,Name,Link,Published On,Meeting Date,Type
Finance Committee,Minutes  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180918/20180918-minutes.ashx,11.29.2018,9.18.2018,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180822/20180822-agenda.ashx,8.15.2018,8.22.2018,PDF
Finance Committee,Draft Minutes - FC - 5.14.2018  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180822/20180822-draft-minutes-pc-20180514.ashx,8.15.2018,8.22.2018,PDF
Finance Committee,Minutes  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180822/20180822-minutes.ashx,9.20.2018,8.22.2018,PDF
Finance Committee,PJM Quarterly Unaudited Financial Statements as of 7.30.2018  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180822/20180822-pjm-quarterly-unaudited-financial-statements-as-of-june-30-2018.ashx,8.15.2018,8.22.2018,PDF
Finance Committee,2Q 2018 Financial Statement Review - FC August 2018  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180822/20180822-2q-2018-financial-statement-review-fc-august-2018.ashx,8.15.2018,8.22.2018,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180514/20180514-agenda.ashx,5.10.2018,5.14.2018,PDF
Finance Committee,Draft Minutes - 3.29.2018  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180514/20180514-draft-minutes-03-29-2018.ashx,5.10.2018,5.14.2018,PDF
Finance Committee,Minutes  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180514/20180514-minutes.ashx,8.23.2018,5.14.2018,PDF
Finance Committee,First Quarter 2018 Financial Statement Review  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180514/20180514-first-quarter-financial-statement-review.ashx,5.10.2018,5.14.2018,PDF
Finance Committee,First Quarter Unaudited Financial Statement  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180514/20180514-first-quarter-unaudited-financial-statements.ashx,5.10.2018,5.14.2018,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180329/20180329-agenda.ashx,3.29.2018,3.29.2018,PDF
Finance Committee,Item 2 - Draft Minutes - FC - 11.28.2017  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180329/20180329-item-02-draft-minutes-fc-20171128.ashx,3.29.2018,3.29.2018,PDF
Finance Committee,Minutes  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180329/20180329-minutes.ashx,8.14.2018,3.29.2018,PDF
